COD_ZONA,MODO_PRINCIPAL,QTD
57,Ônibus,16300.5827063135
57,Transporte fretado,0
57,Transporte escolar,1933.3907869027798
57,Dirigindo automóvel,21188.376038465976
57,Passageiro de automóvel,6879.637141502212
57,Táxi convencional,1771.6963208590107
57,Táxi não convencional,2287.7714389889247
57,Dirigindo moto,1801.1682429697132
57,Passageiro de moto,1107.8844316501616
57,Bicicleta,993.8602481189895
57,A pé,28952.048102289948
57,Outros,168.14008461093894
58,Metrô,19845.97360869747
58,Trem,0
58,Ônibus,7174.883374509315
58,Transporte fretado,298.1353979732675
58,Transporte escolar,957.8893674645844
58,Dirigindo automóvel,9358.834419624243
58,Passageiro de automóvel,2517.290294748375
58,Táxi convencional,122.30685016707183
58,Táxi não convencional,615.7609841218568
58,Dirigindo moto,1269.8193577527309
58,Passageiro de moto,0
58,Bicicleta,145.01712426787498
58,A pé,13333.381969912127
58,Outros,0
59,Metrô,48099.49889925713
59,Trem,0
59,Ônibus,19733.40870473674
59,Transporte fretado,267.2735335026364
59,Transporte escolar,3943.136209564422
59,Dirigindo automóvel,24426.062791863144
59,Passageiro de automóvel,13542.242489612396
59,Táxi convencional,210.92044983491135
59,Táxi não convencional,1667.28349950762
59,Dirigindo moto,2207.9757740827445
59,Passageiro de moto,0
59,Bicicleta,2637.873606189673
59,A pé,47134.362415727905
59,Outros,591.0464545462969
60,Metrô,10545.768158081555
60,Trem,126.05538859304764
60,Ônibus,10587.720585982272
60,Transporte fretado,0
60,Transporte escolar,938.5051707292494
60,Dirigindo automóvel,24046.325799589657
60,Passageiro de automóvel,8461.364241619141
60,Táxi convencional,171.0906881049931
60,Táxi não convencional,692.5824782385622
60,Dirigindo moto,3108.3329112172655
60,Passageiro de moto,0
60,Bicicleta,971.4602577006968
60,A pé,9653.21390507817
60,Outros,45.66428051458791
61,Metrô,16541.74296985794
61,Trem,0
61,Ônibus,12649.211770993259
61,Transporte fretado,414.7375287195617
