COD_ZONA,RAZAO_VIAGEM_A_PE,QTD
99,Atividade Física,0
99,Outros Motivos,0
100,Pequena Distância,19005.08761615796
100,Condução Cara,254.40351376063703
100,Ponto/ Estação Distante,101.01194491011505
100,Condução Demora para Passar,556.4438936989785
100,Viagem Demorada,0
100,Condução Lotada,0
100,Atividade Física,233.67059978350102
100,Outros Motivos,0
101,Pequena Distância,7104.55101649893
101,Condução Cara,46.47321161090793
101,Ponto/ Estação Distante,0
101,Condução Demora para Passar,0
101,Viagem Demorada,0
101,Condução Lotada,0
101,Atividade Física,0
101,Outros Motivos,0
102,Pequena Distância,3769.637475199216
102,Condução Cara,0
102,Ponto/ Estação Distante,0
102,Condução Demora para Passar,0
102,Viagem Demorada,0
102,Condução Lotada,0
102,Atividade Física,239.13418051379605
102,Outros Motivos,164.12394775917699
103,Pequena Distância,599.5145043491866
103,Condução Cara,0
103,Ponto/ Estação Distante,137.46824411458817
103,Condução Demora para Passar,0
103,Viagem Demorada,0
103,Condução Lotada,0
103,Atividade Física,96.21681709529567
103,Outros Motivos,0
104,Pequena Distância,1923.5134963342205
104,Condução Cara,0
104,Ponto/ Estação Distante,69.75302671433394
104,Condução Demora para Passar,0
104,Viagem Demorada,0
104,Condução Lotada,0
104,Atividade Física,138.92674036762875
104,Outros Motivos,21.361657251874895
105,Pequena Distância,6492.879929145697
105,Condução Cara,0
105,Ponto/ Estação Distante,0
105,Condução Demora para Passar,0
105,Viagem Demorada,0
105,Condução Lotada,0
105,Atividade Física,784.9007398701198
105,Outros Motivos,51.03174156091077
106,Pequena Distância,4085.1065910457683
106,Condução Cara,0
106,Ponto/ Estação Distante,0
106,Condução Demora para Passar,0
106,Viagem Demorada,0
106,Condução Lotada,0
106,Atividade Física,0
106,Outros Motivos,0
107,Pequena Distância,5787.105092207939
107,Condução Cara,0
107,Ponto/ Estação Distante,0
107,Condução Demora para Passar,0
107,Viagem Demorada,0
107,Condução Lotada,0
107,Atividade Física,238.16569523034002
107,Outros Motivos,42.72331450374979
108,Pequena Distância,1819.8733740403359
108,Condução Cara,0
108,Ponto/ Estação Distante,0
108,Condução Demora para Passar,0
108,Viagem Demorada,0
108,Condução Lotada,0
108,Atividade Física,42.72331450374979
108,Outros Motivos,0
109,Pequena Distância,49656.394811861355
109,Condução Cara,0
109,Ponto/ Estação Distante,0
109,Condução Demora para Passar,0
109,Viagem Demorada,0
109,Condução Lotada,0
109,Atividade Física,0
109,Outros Motivos,0
110,Pequena Distância,23628.111070558436
110,Condução Cara,267.13194518243654
110,Ponto/ Estação Distante,0
110,Condução Demora para Passar,730.7100919515685
110,Viagem Demorada,0
110,Condução Lotada,0
110,Atividade Física,0
110,Outros Motivos,0
111,Pequena Distância,27346.11617910901
